qRePS,Gene,Protein,Uniprot,Amount per well [pmol]
QR3140513,A1BG,Alpha-1B-glycoprotein,P04217,1.327
QR5000096,A2M,Alpha-2-macroglobulin,P01023,1.971
QR0140749,ACTN1,Alpha-actinin-1,P12814,0.157
QR0221144,ADA2,Adenosine deaminase 2,Q9NZK5,0.015
QR5000237,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,0.057
QR3790216,ADIPOQ,Adiponectin,Q15848,0.31
QR0670086,AFM,Afamin,P43652,0.705
QR0350062,AGT,Angiotensinogen,P01019,0.295
QR0350074,AHSG,Alpha-2-HS-glycoprotein,P02765,7.279
QR0380036,ALDOA,Fructose-bisphosphate aldolase A,P04075,0.112
QR3450265,APOA1,Apolipoprotein A-I,P02647,17.382
QR4430020,APOA2,Apolipoprotein A-II,P02652,25.731
QR0260124,APOA4,Apolipoprotein A-IV,P06727,1.125
QR5000600,APOB,Apolipoprotein B,P04114,0.835
QR3730489,APOC1,Apolipoprotein C-I,P02654,3.875
QR3920348,APOC2,Apolipoprotein C-II,P02655,1.066
QR2760373,APOD,Apolipoprotein D,P05090,0.873
QR4200068,APOE,Apolipoprotein E,P02649,0.737
QR5000011,APOH,Beta-2-glycoprotein 1,P02749,1.287
QR0350088,APOL1,Apolipoprotein L1,O14791,0.376
QR3340379,APOM,Apolipoprotein M,O95445,0.706
QR5000029,APP,Amyloid-beta precursor protein,P05067,0.237
QR0350107,BCHE,Cholinesterase,P06276,0.039
QR3210149,BLVRB,Flavin reductase (NADPH),P30043,0.482
QR2960663,BTD,Biotinidase,P43251,0.13
QR0280083,C1QC,Complement C1q subcomponent subunit C,P02747,0.14
QR3560023,C1QTNF3,Complement C1q tumor necrosis factor-related protein 3,Q9BXJ4,0.494
QR0280166,C1R,Complement C1r subcomponent,P00736,0.005
QR5000342,C1RL,Complement C1r subcomponent-like protein,Q9NZP8,0.157
QR0280085,C1S,Complement C1s subcomponent,P09871,0.352
QR3700494,C2,Complement C2,P06681,0.307
QR0280090,C3,Complement C3,P01024,5.735
QR5000006,C4A,Complement C4-A,P0C0L4,0.703
